K	涨幅下限	量比下限	成交腿	胜率%	净bps	毛利bps	成本bps	等均bps	σbps	t值	收益/成本	年化%	回撤%	通过
1	2	1.2	235	34.47	-75.57	-31.38	44.19	-60.81	366.43	-2.54	-0.71	-17.45	56.43	N
1	2	1.5	230	31.74	-108.18	-64.1	44.08	-94.51	340.76	-4.21	-1.45	-27.83	72.91	N
1	2	2	248	36.69	-53.18	-8.87	44.31	-36.38	416.96	-1.37	-0.2	-12.11	50.58	N
1	3	1.2	247	36.44	-53.18	-9.83	43.35	-47.96	365.88	-2.06	-0.23	-12.51	45.51	N
1	3	1.5	254	37.4	-49.12	-5.99	43.13	-42.71	371.34	-1.83	-0.14	-11.87	42.84	N
1	3	2	248	39.52	-28.78	14.78	43.56	-16.37	399.77	-0.64	0.34	-6.28	43.42	N
1	4	1.2	234	38.89	-39.94	4.32	44.26	-31.37	391.04	-1.23	0.1	-8.22	33.45	N
1	4	1.5	243	36.63	-47.81	-4.31	43.5	-39.83	370.55	-1.68	-0.1	-10.8	43.08	N
1	4	2	240	37.92	-32.01	11.68	43.69	-22.48	396.82	-0.88	0.27	-6.78	43.1	N
2	2	1.2	325	34.46	-85.92	-40.44	45.48	-66.95	377.56	-3.2	-0.89	-31.24	75.27	N
2	2	1.5	338	34.32	-85.92	-40.98	44.94	-69.72	365.11	-3.51	-0.91	-34.26	76.15	N
2	2	2	389	36.5	-46.42	-2.23	44.19	-35.69	393.58	-1.79	-0.05	-17.84	67.57	N
2	3	1.2	418	36.84	-63.34	-19.24	44.1	-57.9	361.38	-3.28	-0.44	-30.85	71.87	N
2	3	1.5	424	37.5	-47.94	-4.15	43.79	-41.4	361.6	-2.36	-0.09	-21.2	67.44	N
2	3	2	359	35.1	-54.33	-10.29	44.04	-43.93	371.39	-2.24	-0.23	-19.85	72.48	N
2	4	1.2	454	39.21	-42.72	1.55	44.27	-30.17	390.17	-1.65	0.03	-19.54	54.34	N
2	4	1.5	383	35.51	-58.93	-15.33	43.6	-45.14	398.3	-2.22	-0.35	-24.68	67.53	N
2	4	2	350	36.29	-51.17	-7.47	43.7	-44.87	384.11	-2.19	-0.17	-18.08	65.89	N
3	2	1.2	339	33.92	-92.93	-46.83	46.1	-77.01	357.82	-3.96	-1.02	-37.59	81.04	N
3	2	1.5	444	37.16	-49.79	-5.01	44.78	-39	367.31	-2.24	-0.11	-22.83	76.92	N
3	2	2	450	36.67	-38.96	5.51	44.47	-29.21	394.07	-1.57	0.12	-17.06	67.1	N
3	3	1.2	428	34.35	-70.06	-25.06	45	-64.9	355.55	-3.78	-0.56	-36.72	78.22	N
3	3	1.5	416	35.1	-70.15	-25.55	44.6	-63.81	344.54	-3.78	-0.57	-35.55	79.4	N
3	3	2	408	35.78	-51.35	-7.1	44.25	-42.8	374.1	-2.31	-0.16	-21.71	73.28	N
3	4	1.2	420	35	-72.43	-27.52	44.91	-62.72	368.56	-3.49	-0.61	-37.54	79.93	N
3	4	1.5	421	35.39	-65.35	-21	44.35	-56.21	371.24	-3.11	-0.47	-32.5	74.6	N
3	4	2	330	34.55	-83.69	-39.26	44.43	-72.24	350.83	-3.74	-0.88	-32.59	76.01	N
5	2	1.2	321	33.64	-103.56	-57.58	45.98	-93.14	335.92	-4.97	-1.25	-42.24	83.72	N
5	2	1.5	335	33.13	-96.63	-49.77	46.86	-86.89	347.52	-4.58	-1.06	-38.48	82.1	N
5	2	2	445	36.4	-49.65	-5	44.65	-40.01	394.07	-2.14	-0.11	-22.96	69.53	N
5	3	1.2	466	35.19	-64.31	-19.09	45.22	-58.91	360.1	-3.53	-0.42	-36.27	78.02	N
5	3	1.5	432	36.11	-70.58	-24.52	46.06	-62.81	352.67	-3.7	-0.53	-35.96	79.82	N
5	3	2	406	35.22	-62.97	-18.26	44.71	-52.57	378	-2.8	-0.41	-28.42	75.98	N
5	4	1.2	458	35.37	-69	-23.64	45.36	-60.91	373.92	-3.49	-0.52	-39.63	82.25	N
5	4	1.5	396	34.85	-75.03	-29.09	45.94	-62.9	350.94	-3.57	-0.63	-34.43	81.17	N
5	4	2	364	35.16	-65.47	-21.2	44.27	-57.64	379.88	-2.89	-0.48	-26.16	75.14	N
# 口径：单笔与本金取 .env；风控闸默认关（测策略本身）；止损取 --stop；t 值是等权口径，|t|<2 即与零不可区分
